open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
2025-12-11 22:00:00+00:00,92954.73,93175.43,92142.52,92377.21,0.77465,2025-12-11 22:59:59.999000+00:00,71754.1573289,153,0.49687,46064.9490334
2025-12-11 23:00:00+00:00,92495.79,92695.37,92333.14,92596.49,0.2675,2025-12-11 23:59:59.999000+00:00,24762.9138259,52,0.23168,21454.4138681
2025-12-12 00:00:00+00:00,92593.75,92602.05,91533.42,91533.42,0.15609,2025-12-12 00:59:59.999000+00:00,14389.9767395,102,0.01101,1018.6904695
2025-12-12 01:00:00+00:00,91747.52,92241.65,91500.41,92029.86,0.16503,2025-12-12 01:59:59.999000+00:00,15121.7841711,74,0.05939,5453.3828645
2025-12-12 02:00:00+00:00,92229.68,92694.98,91824.81,92408.2,0.1475,2025-12-12 02:59:59.999000+00:00,13637.658433,115,0.13602,12578.6960082
2025-12-12 03:00:00+00:00,92687.22,92715.7,92171.23,92391.12,1.87858,2025-12-12 03:59:59.999000+00:00,173744.3497173,61,0.43139,39992.4530485
2025-12-12 04:00:00+00:00,92378.65,92460.35,92153.81,92457.34,0.1384,2025-12-12 04:59:59.999000+00:00,12771.4393838,256,0.08696,8029.587429
2025-12-12 05:00:00+00:00,92456.81,92572.01,92085.35,92472.24,0.18714,2025-12-12 05:59:59.999000+00:00,17274.9044623,213,0.08516,7871.8780527
2025-12-12 06:00:00+00:00,92470.21,92694.99,92236.3,92487.04,0.0278,2025-12-12 06:59:59.999000+00:00,2572.8717262,40,0.02027,1876.6225399
2025-12-12 07:00:00+00:00,92619.44,92619.44,92345.61,92511.82,0.02023,2025-12-12 07:59:59.999000+00:00,1870.2955903,21,0.00672,621.9466851
2025-12-12 08:00:00+00:00,92506.49,92506.49,92187.16,92358.29,0.00312,2025-12-12 08:59:59.999000+00:00,288.3278402,13,0.00259,239.4686454
2025-12-12 09:00:00+00:00,92172.03,92484.75,92120.34,92484.74,0.11999,2025-12-12 09:59:59.999000+00:00,11075.9411781,22,0.06086,5625.6369062
2025-12-12 10:00:00+00:00,92573.51,92657.1,92298.38,92298.38,0.05762,2025-12-12 10:59:59.999000+00:00,5331.7981174,16,0.03534,3273.3124728
2025-12-12 11:00:00+00:00,92564.94,92564.94,92160.55,92440.78,0.07154,2025-12-12 11:59:59.999000+00:00,6601.7330243,21,0.00611,565.0981364
2025-12-12 12:00:00+00:00,92437.87,92437.87,92086.84,92422.47,0.06987,2025-12-12 12:59:59.999000+00:00,6442.0285264,28,0.0037,341.8549777
2025-12-12 13:00:00+00:00,92419.76,92419.76,92256.23,92265.68,0.0044,2025-12-12 13:59:59.999000+00:00,406.5047211,9,0.00375,346.5336356
2025-12-12 14:00:00+00:00,92449.95,92623.51,91928.7,92257.44,0.42959,2025-12-12 14:59:59.999000+00:00,39664.8119874,82,0.31659,29253.5342029
2025-12-12 15:00:00+00:00,92518.99,92518.99,89744.45,89744.49,1.55496,2025-12-12 15:59:59.999000+00:00,141391.0073994,268,0.07005,6361.3711992
2025-12-12 16:00:00+00:00,89746.86,90430.43,89521.4,89813.65,0.55542,2025-12-12 16:59:59.999000+00:00,49924.9534758,139,0.23332,20979.3792107
2025-12-12 17:00:00+00:00,90173.0,90631.59,89892.53,89926.54,2.26331,2025-12-12 17:59:59.999000+00:00,204269.7066977,84,2.10325,189836.0501519
2025-12-12 18:00:00+00:00,90259.07,90631.83,89929.93,90475.91,1.66839,2025-12-12 18:59:59.999000+00:00,150210.0793047,64,0.16584,14996.8668471
2025-12-12 19:00:00+00:00,90548.52,90548.52,90035.54,90077.53,0.18014,2025-12-12 19:59:59.999000+00:00,16259.3729462,28,0.03632,3278.7402366
2025-12-12 20:00:00+00:00,90315.43,90386.72,89942.78,90107.86,0.34213,2025-12-12 20:59:59.999000+00:00,30827.8331569,50,0.15166,13677.1126128
2025-12-12 21:00:00+00:00,90115.26,90461.36,90039.27,90127.24,0.14092,2025-12-12 21:59:59.999000+00:00,12719.7579229,30,0.0768,6938.7670364
2025-12-12 22:00:00+00:00,90332.03,90459.2,90142.19,90210.21,0.42333,2025-12-12 22:59:59.999000+00:00,38190.609461,30,0.4068,36698.9143362
2025-12-12 23:00:00+00:00,90410.05,90410.07,90223.42,90294.75,0.01745,2025-12-12 23:59:59.999000+00:00,1576.3671332,30,0.0058,524.3064967
2025-12-13 00:00:00+00:00,90366.99,90463.41,90145.62,90189.66,0.06856,2025-12-13 00:59:59.999000+00:00,6191.8444898,70,0.03816,3450.3573884
2025-12-13 01:00:00+00:00,90191.37,90410.91,90127.77,90333.85,0.16416,2025-12-13 01:59:59.999000+00:00,14816.2074782,51,0.08704,7863.7471012
2025-12-13 02:00:00+00:00,90133.51,90459.5,90133.5,90397.81,0.04215,2025-12-13 02:59:59.999000+00:00,3803.9892967,34,0.02163,1954.3451882
2025-12-13 03:00:00+00:00,90140.81,90463.36,90140.81,90448.56,2.28603,2025-12-13 03:59:59.999000+00:00,206646.1095656,59,2.20354,199206.7672419
